by-the-passageway	Ao lado da Passagem / By the Passageway	interiores,praia	2000	Óleo s/tela s/eucatex e moldura antiga / Oil on canvas on masonite & old frame		63,5 cm x 34,5 cm	Coleção Particular / Private Collection
contemplation	Contemplação / Contemplation	interiores,praia	1999	Óleo s/tela e moldura / Oil on canvas & frame		50.5 cm x 32.5 cm	Coleção Particular / Private Collection
sugar-loaf	Pão de Açucar / Sugar Loaf	interiores,obras-disponiveis,praia	2002	Óleo s/ tela e moldura / Oil on canvas & frame		35 cm x 45 cm	
apres-le-vietnam	Après le Vietnam	interiores,obras-disponiveis	2007	Óleo s/tela com moldura de madeira / Oil on canvas with wood frame		62 cm x 53 cm	
you-can-see-interior-land-sea	You Can See Interior, Land & Sea	interiores,obras-disponiveis,praia	2005,2006	Óleo s/tela s/eucatex e janela de madeira / Oil on canvas on masonite and wood window		100 cm x 38 cm	
music-and-a-flower-carpet	Music and a Flower Carpet	interiores,obras-disponiveis	2004,2005	Óleo s/tela; passepartout e moldura / Oil on canvas; passepartout & frame		44.5 cm x 35.5 cm	
interior-exterior-with-jundu-naked-women-easel-and-surfer	Interior-Exterior c/ Jundu, Nus, Cavalete e Surfista / Interior-Exterior With “Jundu”, Naked Women, Easel and Surfer	interiores,obras-disponiveis,praia	2004	Óleo s/tela / Oil on canvas		70 cm x 50 cm	
the-striped-sofa	O Sofá Listrado / The Striped Sofa	interiores	1997	Óleo s/tela e moldura / Oil on canvas & frame		46 cm x 38 cm	Coleção Particular / Private Collection
interior-with-a-view-of-the-island-of-t-t-g	Interior com Vista da Ilha de T.T.G. / Interior with a view of the Island of T.T.G.	interiores,praia	1993	Óleo s/tela s/eucatex com moldura antiga / Oil on canvas on masonite with an antique frame		64 cm x 34 cm	Coleção Particular / Private Collection
living-room-with-fireplace	Sala da Lareira / Living-room with Fireplace	interiores	1992	Óleo e colagem s/tela e moldura / Oil and collage on canvas & frame		48 cm x 62 cm	Coleção Particular / Private Collection
le-dejeuner-est-servi	Le Déjeuner est Servi	interiores	1992	Óleo e colagem s/tela s/eucatex e moldura / Oil & collage on canvas on masonite & frame		53 cm x 43 cm	Coleção Particular / Private Collection
room-with-a-view	Room with a View	interiores,praia	1991	óleo s/tela e moldura / oil on canvas & frame		41 cm x 54 cm	Coleção Particular / Private Collection
interior-exterior-with-hamsa-bonsai-and-pair-of-candlesticks	Interior-Exterior com Hamsa, “bonsai” e Par de Candelabros / Interior-Exterior with Hamsa, “Bonsai” and Pair of Candlesticks	interiores	2000	óleo s/tela e moldura / oil on canvas & frame		 34 cm x 44 cm	Coleção Particular / Private Collection
contemplation-ii	Contemplação II / Contemplation II	interiores,praia	2004	Tríptico / Triptych	Óleo s/ tela / Oil on canvas'	45 cm x 30 cm	Coleção Particular / Private Collection
bonsai-provence-style	Bonsai à Provençal / Bonsai Provence Style	interiores	2000	Óleo s/tela e moldura / Oil on canvas & frame		33 cm x 49 cm	Coleção Particular / Private Collection
portrait-of-a-wedding	Retrato de um Casamento / Portrait of a Wedding	objetos,obras-disponiveis	2007,2008,2009	Óleo s/madeira / Oil on wood		18 cm x 64 cm	
a-house	Uma Casa / A House	objetos,obras-disponiveis	2006,2007	Óleo s/tela s/eucatex e madeira / Oil on canvas on masonite & wood		15 cm x 36 cm	aberta / open – + 0.25 cm
paradise-island	Paradise Island	objetos,praia	2008,2009		Óleo s/tela e madeira maciça / Oil on canvas and wood'	1.30 cm x 82 cm	
icon	Ícone / Icon	objetos,tapetes	2002,2003	Óleo e colagem s/tela e moldura dentro de caixa de vidro / Oil & collage on canvas & frame inside wood box		38 cm x 42.5 cm	Coleção Particular / Private Collection
pair-of-shoes	Par de Sapatos / Pair of Shoes	objetos,obras-disponiveis	2006	Acrílica s/madeira / Acrylic on wood			
pair-of-shoes-ii	Par de Sapatos II / Pair of Shoes II	objetos	2006	Acrílica s/madeira / Acrylic on wood'			Coleção Particular / Private Collection
this-can-be-your-view-too	This can be your view, too	objetos,praia	2004,2005,2006	Óleo s/tela e janela / Oil on canvas & window		38.5 cm x 60.5 cm	Coleção Particular / Private Collection
pair-of-shoes	Par de Sapatos / Pair of Shoes	objetos,obras-disponiveis	2009	Acrílica s/madeira / Acrylic on wood			
coast-with-waterfall	Litoral com Cachoeira / Coast with Waterfall	objetos,obras-disponiveis,praia	2005,2006,2007,2008	Óleo s/tela e madeira / Oil on canvas & wood		76 cm x 44 cm	
out-at-sea	Mar Afora / Out at Sea	objetos,praia	2005	óleo s/tela e madeira / oil on canvas on wood		30 cm diâmetro (diameter) x 41.5 cm + 48 cm	Coleção Particular / Private Collection
north-coast	Litoral Norte / North coast	objetos,praia	2003,2004	Díptico / Diptych	Óleo s/ tela e madeira / Oil on canvas and wood'	1.12 cm x 56 cm x 12 cm profundidade (depth)	Coleção Particular / Private Collection
bonsai	Bonsai	diversos,objetos	2000	Óleo s/ tela e madeira / Oil on canvas & wood		35 cm x 55 cm + 15 cm profundidade / depth	Coleção Particular / Private Collection
if-this-were-my-street	Se Esta Rua Fosse Minha / If This Were my Street	objetos,obras-disponiveis	2006		acrílica sobre tela e objeto de madeira (aberto e fechado) / acrylic on canvas & wooden object (open & closed) '	15 cm X 36 cm (+ 25 cm – quando aberto / when open)	
flores-e-janela-flowers-a-window	Flores e Janela – Flowers & a Window	objetos,praia	2007	Acrílica s/madeira / Acrylic on wood			Coleção Particular / Private Collection
youll-teach-me-how-to-knit-lace-i	Tu me Ensina a Fazê Renda I / You´ll Teach me How to Knit Lace I	obras-disponiveis,praia,tapetes	1995	Óleo s/eucatex e moldura preparados com terracor / Oil on masonite & frame prepared with terracor		42.5 cm x 42.5 cm	
paracuru	Paracuru	obras-disponiveis,praia	1995	Óleo s/tela / Oil on canvas		45 cm x 35 cm	
fishing-calamari	Pescando Lula / Fishing Calamari	obras-disponiveis,praia	2001,2002,2003,2004	Díptico / Dipthyc	Óleo s/tela / Oil on canvas'	60 cm x 40 cm	
island-view	Com Vista para as Ilhas / Island View	obras-disponiveis,praia	2001	Óleo s/ tela e moldura preparados com terracor / Mixed media on canvas & frame		65.5 cm x 49.5 cm	
personal-rug	Tapete Pessoal / Personal Rug	obras-disponiveis,tapetes	2004,2005	Óleo s/tela e moldura de madeira / Oil on canvas & wood frame		76 cm x 96 cm	
beach-trees-ii	Chapéus de Sol II / Beach Trees II	obras-disponiveis,praia	2007	Óleo s/ tela e moldura / Oil on canvas & frame		78 cm x 58 cm	
a-very-very-rare-rug	Raríssimo Tapete / A Very, Very Rare Rug	obras-disponiveis,tapetes	1996	óleo s/tela e moldura / oil on canvas & frame		70 cm x 50 cm	
watching-boats	A Ver Navios / Watching Boats	praia	2001		Óleo s/tela e moldura / Oil on canvas & frame'	35 cm x 55 cm	Coleção Particular / Private Collection
beach-rug	Tapete Praiano / Beach Rug	praia,tapetes	1998,1999		Óleo s/tela e moldura / Oil on canvas & frame'	79 cm x 59 cm	Coleção Particular / Private Collection
welcome	Welcome	praia	1997	Óleo s/tela e moldura / Oil on canvas & frame		49 cm x 55 cm	
marina-in-tel-aviv	Marina em Tel Aviv / Marina in Tel Aviv	praia	2007	Óleo s/tela e moldura / Oil on canvas & frame		70 cm x 52 cm	
rug-canopy	Chupá-Tapete / Rug Canopy	obras-disponiveis,tapetes	2008,2009	Óleo s/tela e colagem de renda / Oil on canvas and collage		50 cm x 60 cm	
on-a-persian-market	Em um Mercado Persa / On a Persian Market	tapetes	2005	Óleo s/tela s/eucatex e moldura / Oil on canvas on masonite & frame		45 X 54	Coleção Particular / Private Collection
faces-and-crowns	Faces and Crowns	diversos,tapetes	2002	Óleo s/tela e moldura / Oil on canvas& frame		35 cm x 55 cm	Coleção Particular / Private Collection
sea-rug	Tapete Marinho / Sea Rug	praia,tapetes	2001		Óleo e costura sobre tela e moldura / Oil & sewing on canvas & frame'	62 cm x 32.5 cm	Coleção Particular / Private Collection
domestic-rug	Tapete Doméstico (Naknik) / Domestic Rug	obras-disponiveis,tapetes	2000		Óleo sobre tela e moldura / Oil on canvas & frame'	51 cm x 41 cm	
outstanding-rug	Excepcional Tapete / Outstanding Rug	obras-disponiveis,tapetes	1997	Óleo s/ tela e moldura / Oil on canvas & frame		47 cm x 37 cm	
the-russian-tablecloth	The Russian Tablecloth / The Russian Tablecloth	obras-disponiveis,tapetes	1997	Óleo s/tela e moldura / Oil on canvas & frame		43 cm x 31 cm	
faces-crowns	Caras e Coroas / Faces & Crowns	tapetes	2002	Óleo s/ tela e moldura / Oil on canvas & frame		48.5 cm x 66 cm	Coleção Particular /Private Collection
wailing-rug	Tapete das Lamentações / Wailing Rug	obras-disponiveis,tapetes	2002,2003				
a-legitimate-small-runner	Legítima Passadeirinha / A Legitimate Small Runner	obras-disponiveis,tapetes	1998	Óleo s/ tela e moldura / Oil on canvas & frame		66 cm x 36 cm	
a-rare-rug	Raro Tapete / A Rare Rug	obras-disponiveis,tapetes	1996	Óleo s/tela e moldura / Oil on canvas & frame		52 cm x 43 cm	
a-legitimate-persian-rug	Legítimo Tapete Persa / A Legitimate Persian Rug	tapetes	1998	Óleo s/ stela e moldura / Oil on canvas & frame		52 cm x 46 cm	Coleção Particular / Private Collection
a-wild-rug	Tapete Selvagem / A Wild Rug	obras-disponiveis,tapetes	2000	Óleo s/ stela e moldura / Oil on canvas & frame		51 cm x 41 cm	
a-legitimate-runner	Legítima Passadeira / A Legitimate Runner	obras-disponiveis,tapetes	1998	Óleo s/tela s/eucatex e moldura / Oil on canvas mounted on masonite & frame		85 cm x 45 cm	
a-rug-canopy	Tapete Dossel / A Rug Canopy	tapetes	2002	Óleo e colagem s/tela e moldura / Oil & collage on canvas & frame		41 cm x 47 cm	Coleção Particular / Private Collection
oi-nois-aqui-tra-veis-i	Oi nóis aqui ‘tra véis I	Uncategorized					doado para o Museu do Holocausto de Curiitiba
ribbons	FITAS / RIBBONS	Uncategorized	2001	óleo s/tela e moldura / oil on canvas & frame		1.5 cm x 91.5 cm	Coleção Particular / Private Collection
